Kepler-889 b,Not A Binary,,0.097,3.744439,,,,,Kepler-889,,1.14,1.25,5961,,Confirmed planets
OGLE-TR-132 b,Not A Binary,1.17,1.227,1.689868,0.03,0,1812,,OGLE-TR-132,1500,1.19,1.35,6210,,Confirmed planets
Kepler-249 c,Not A Binary,,0.13761,7.113702,,,,,Kepler-249,230.75,0.506,0.482,3568,,Confirmed planets
Kepler-249 b,Not A Binary,,0.09933,3.306539,,,,,Kepler-249,230.75,0.506,0.482,3568,,Confirmed planets
Kepler-249 d,Not A Binary,,0.14307,15.368459,,,,,Kepler-249,230.75,0.506,0.482,3568,,Confirmed planets
Kepler-317 b,Not A Binary,,0.19046,5.524242,,,,,Kepler-317,1142.05,0.816,0.941,5497,,Confirmed planets
Kepler-317 c,Not A Binary,,0.15674,8.77501,,,,,Kepler-317,1142.05,0.816,0.941,5497,,Confirmed planets
HAT-P-56 b,Not A Binary,2.18,1.466,2.7908327,0.0423,,1840,,HAT-P-56,310.5,1.296,1.428,6566,2.01,Confirmed planets
Kepler-922 b,Not A Binary,,0.127,0.93846683,,,,,Kepler-922,,0.95,0.93,5671,,Confirmed planets
KOI-370.02,Not A Binary,,0.228,22.95102,0.178,,,,KOI-370,589.92,1.419,1.98,6022,4.21,Confirmed planets
KOI-370.01,Not A Binary,,0.35,42.88254,0.269,0.11,,,KOI-370,589.92,1.419,1.98,6022,4.21,Confirmed planets
Kepler-505 b,Not A Binary,,0.232,27.52197994,,,,,Kepler-505,,0.55,0.53,3931,,Confirmed planets
Kepler-1062 b,Not A Binary,,0.157,9.30412078,,,,,Kepler-1062,,0.75,0.7,4597,,Confirmed planets
Kepler-266 b,Not A Binary,,0.226,6.61833,,,,,Kepler-266,1577.36,1.06,1.028,5885,,Confirmed planets
Kepler-266 c,Not A Binary,,0.3545,107.723601,,,,,Kepler-266,1577.36,1.06,1.028,5885,,Confirmed planets
Kepler-697 b,Not A Binary,,0.368,3.70987065,,,,,Kepler-697,,0.92,0.88,5513,,Confirmed planets
Kepler-1470 b,Not A Binary,,0.095,16.2950903,,,,,Kepler-1470,,0.8,0.76,4961,,Confirmed planets
Kepler-1269 b,Not A Binary,,0.145,37.3331536,,,,,Kepler-1269,,1.1,1.15,5998,,Confirmed planets
Kepler-1457 b,Not A Binary,,0.178,51.1110243,,,,,Kepler-1457,,1.01,1.01,5866,,Confirmed planets
Kepler-1282 b,Not A Binary,,0.138,2.13194651,,,,,Kepler-1282,,0.92,0.89,5504,,Confirmed planets
Kepler-674 b,Not A Binary,,0.151,2.24338185,,,,,Kepler-674,,0.6,0.57,4192,,Confirmed planets
Kepler-1120 b,Not A Binary,,0.123,2.94902905,,,,,Kepler-1120,,0.78,0.74,4904,,Confirmed planets
Kepler-1001 b,Not A Binary,,0.281,14.30511983,,,,,Kepler-1001,,0.9,0.88,5491,,Confirmed planets
Kepler-863 b,Not A Binary,,0.259,15.59461874,,,,,Kepler-863,,0.96,0.95,5678,,Confirmed planets
2M 2206-20 b,Not A Binary,30,1.3,8686,4.48,0,,,2M 2206-20,26.67,0.13,0.11,2350,,Confirmed planets
Kepler-222 b,Not A Binary,,0.28797,3.936981,,,,,Kepler-222,891.55,0.857,0.869,5433,,Confirmed planets
Kepler-222 d,Not A Binary,,0.33627,28.081912,,,,,Kepler-222,891.55,0.857,0.869,5433,,Confirmed planets
Kepler-222 c,Not A Binary,,0.42284,10.08881,,,,,Kepler-222,891.55,0.857,0.869,5433,,Confirmed planets
HAT-P-31 b,Not A Binary,2.171,1.07,5.005425,0.055,0.245,1324.7,,HAT-P-31,354,1.218,1.36,6065,,Confirmed planets
Kepler-1345 b,Not A Binary,,0.211,44.6169557,,,,,Kepler-1345,,1.32,1.55,6449,,Confirmed planets
Kepler-32 b,Not A Binary,,0.19137,5.901263,,,,,Kepler-32,399,0.58,0.53,3900,,Confirmed planets
Kepler-32 c,Not A Binary,,0.20231,8.752212,,,,,Kepler-32,399,0.58,0.53,3900,,Confirmed planets
Kepler-32 d,Not A Binary,,0.2178,22.780815,,,,,Kepler-32,399,0.58,0.53,3900,,Confirmed planets
Kepler-32 e,Not A Binary,,0.10024,2.896027,,,,,Kepler-32,399,0.58,0.53,3900,,Confirmed planets
Kepler-32 f,Not A Binary,,0.0729,0.74295,,,,,Kepler-32,399,0.58,0.53,3900,,Confirmed planets
HD 8574 b,Not A Binary,2.11,,227.55,0.77,0.288,355.7,,HD 8574,44.2,1.17,1.37,6080,,Confirmed planets
Kepler-900 b,Not A Binary,,0.186,6.9913086,,,,,Kepler-900,,0.78,0.73,4836,,Confirmed planets
HD 215152 b,Not A Binary,0.0087,,7.2825,0.0652,0.34,704.7,,HD 215152,21.5,,,5150,,Confirmed planets
HD 215152 c,Not A Binary,0.0097,,10.866,0.0852,0.38,615.3,,HD 215152,21.5,,,5150,,Confirmed planets
Kepler-1516 b,Not A Binary,,0.156,7.25931979,,,,,Kepler-1516,,1.04,1.07,5904,,Confirmed planets
Kepler-996 b,Not A Binary,,0.177,3.77059058,,,,,Kepler-996,,1.09,1.14,6014,,Confirmed planets
Kepler-1316 b,Not A Binary,,0.316,87.9732136,,,,,Kepler-1316,,1.04,1.12,5884,,Confirmed planets
HW Vir (AB) b,P-type Binary,14.3,,4640,4.69,0.4,,,HW Vir,181,,,,,"Controversial, Planets in binary systems, P-type"
CoRoT-29 b,Not A Binary,0.85,0.9,2.85057,0.039,0.082,,,CoRoT-29,765,0.97,0.9,5260,4.5,Confirmed planets
mu Arae b,Not A Binary,1.676,,643.25,1.5,0.128,228.7,,mu Arae,15.3,1.08,1.245,5700,,Confirmed planets
mu Arae c,Not A Binary,0.03321,,9.6386,0.09094,0.172,928.2,,mu Arae,15.3,1.08,1.245,5700,,Confirmed planets
mu Arae d,Not A Binary,0.5219,,310.55,0.921,0.0666,292.1,,mu Arae,15.3,1.08,1.245,5700,,Confirmed planets
mu Arae e,Not A Binary,1.814,,4205.8,5.235,0.0985,122.5,,mu Arae,15.3,1.08,1.245,5700,,Confirmed planets
HD 77338 b,Not A Binary,0.0487583,,5.7361,0.0611,0,896.4,,HD 77338,40.75,0.93,0.88,5370,,Confirmed planets
Kepler-974 b,Not A Binary,,0.14,4.19449651,,,,,Kepler-974,,0.52,0.5,3687,,Confirmed planets
HD 330075 b,Not A Binary,0.62,,3.38773,0.039,0,1023.2,,HD 330075,50.2,0.95,,6295,,Confirmed planets
